Date,Close,
30/12/2003,0.272368,
31/12/2003,0.272368,0.000%
01/01/2004,0.272368,0.000%
02/01/2004,0.272331,-0.014%
05/01/2004,0.272368,0.014%
06/01/2004,0.272368,0.000%
07/01/2004,0.272368,0.000%
08/01/2004,0.272368,0.000%
09/01/2004,0.272368,0.000%
12/01/2004,0.272368,0.000%
13/01/2004,0.272368,0.000%
14/01/2004,0.272368,0.000%
15/01/2004,0.272331,-0.014%
16/01/2004,0.272331,0.000%
19/01/2004,0.272368,0.014%
20/01/2004,0.272331,-0.014%
21/01/2004,0.272368,0.014%
22/01/2004,0.272368,0.000%
23/01/2004,0.272331,-0.014%
26/01/2004,0.272368,0.014%
27/01/2004,0.272368,0.000%
28/01/2004,0.272368,0.000%
29/01/2004,0.272353,-0.006%
30/01/2004,0.272368,0.006%
02/02/2004,0.272368,0.000%
03/02/2004,0.272368,0.000%
04/02/2004,0.272368,0.000%
05/02/2004,0.272368,0.000%
06/02/2004,0.272368,0.000%
09/02/2004,0.272368,0.000%
10/02/2004,0.272368,0.000%
11/02/2004,0.272368,0.000%
12/02/2004,0.272331,-0.014%
13/02/2004,0.272368,0.014%
16/02/2004,0.272368,0.000%
17/02/2004,0.272368,0.000%
18/02/2004,0.272368,0.000%
19/02/2004,0.272368,0.000%
20/02/2004,0.272324,-0.016%
23/02/2004,0.272368,0.016%
24/02/2004,0.272368,0.000%
25/02/2004,0.272368,0.000%
26/02/2004,0.272368,0.000%
27/02/2004,0.272368,0.000%
01/03/2004,0.272368,0.000%
02/03/2004,0.272368,0.000%
03/03/2004,0.272368,0.000%
04/03/2004,0.272368,0.000%
05/03/2004,0.272324,-0.016%
08/03/2004,0.272368,0.016%
09/03/2004,0.272368,0.000%
10/03/2004,0.272368,0.000%
11/03/2004,0.272339,-0.011%
12/03/2004,0.272368,0.011%
15/03/2004,0.272368,0.000%
16/03/2004,0.272368,0.000%
17/03/2004,0.272368,0.000%
18/03/2004,0.272368,0.000%
19/03/2004,0.272324,-0.016%
22/03/2004,0.272368,0.016%
